time,type,intersection,direction,turning_left,vehicle
1498.50,TurnRedLeft,5,E,null,null
1501.50,TurnRedThrough,2,E,null,null
1506.00,TurnRedThrough,1,E,null,null
1558.50,TurnGreenLeft,5,E,null,null
1561.00,TurnGreenLeft,1,E,null,null
1566.20,TurnGreenThrough,3,E,null,null
1570.80,TurnRedLeft,1,E,null,null
1571.90,TurnRedLeft,5,E,null,null
1572.60,TurnGreenThrough,1,E,null,null
1577.70,TurnGreenThrough,2,E,null,null
1632.10,TurnGreenThrough,5,E,null,null
