Vehicle_ID,Start_Time (s),Start_Intersection,Start_Direction,End_Time (s),End_Intersection,End_Direction
925,537.3,1.0,1.0,667.2,5.0,1.0
932,540.1,1.0,1.0,675.0,5.0,1.0
933,543.7,1.0,2.0,546.5,1.0,2.0
942,544.7,5.0,2.0,546.8,5.0,2.0
945,545.5,1.0,1.0,677.1,5.0,1.0
946,546.3,4.0,1.0,601.5,5.0,2.0
947,551.2,1.0,2.0,560.1,1.0,2.0
951,553.2,1.0,1.0,679.7,5.0,1.0
958,620.2,1.0,1.0,678.3,5.0,1.0
968,566.3,1.0,2.0,586.4,2.0,3.0
970,567.7,1.0,2.0,675.8,5.0,1.0
973,566.2,3.0,3.0,566.6,3.0,3.0
975,569.1,1.0,2.0,682.3,5.0,1.0
977,569.3,3.0,3.0,648.0,5.0,2.0
980,620.3,1.0,1.0,680.9,5.0,1.0
982,572.2,3.0,3.0,572.8,3.0,3.0
984,624.2,1.0,1.0,773.1,5.0,1.0
1013,647.4,5.0,2.0,649.9,5.0,2.0
1026,586.5,4.0,1.0,651.8,5.0,2.0
1032,607.8,1.0,2.0,611.1,1.0,2.0
1035,595.7,5.0,1.0,598.8,5.0,1.0
1042,586.1,2.0,1.0,588.2,2.0,1.0
1077,639.3,2.0,1.0,684.0,5.0,1.0
1087,643.9,2.0,1.0,755.4,5.0,2.0
1089,603.4,2.0,1.0,606.2,2.0,1.0
1090,646.3,2.0,1.0,769.3,5.0,1.0
1092,610.3,1.0,2.0,613.6,1.0,2.0
1093,622.5,1.0,3.0,624.1,1.0,3.0
1096,606.7,5.0,2.0,608.2,5.0,2.0
1098,605.0,1.0,1.0,605.1,1.0,1.0
1102,625.8,1.0,1.0,686.5,5.0,1.0
1104,625.1,1.0,1.0,682.7,5.0,1.0
1105,612.9,1.0,2.0,613.1,1.0,2.0
1109,613.0,1.0,2.0,615.6,1.0,2.0
1122,628.2,1.0,1.0,696.2,3.0,2.0
1123,630.7,1.0,1.0,775.3,5.0,1.0
1124,627.8,5.0,2.0,632.3,5.0,2.0
1131,632.7,1.0,1.0,771.1,5.0,1.0
1134,635.0,1.0,1.0,760.4,5.0,2.0
1136,631.9,1.0,2.0,651.2,1.0,2.0
1140,633.8,5.0,2.0,635.5,5.0,2.0
1142,636.7,1.0,1.0,761.5,5.0,2.0
1147,639.5,1.0,1.0,773.2,5.0,1.0
1152,642.1,1.0,1.0,777.0,5.0,1.0
1155,644.5,1.0,1.0,778.6,5.0,1.0
1157,646.7,1.0,1.0,781.2,5.0,1.0
1165,654.5,1.0,1.0,783.5,5.0,1.0
1168,653.6,4.0,1.0,692.4,5.0,2.0
1170,722.0,1.0,1.0,882.1,5.0,1.0
1173,721.8,1.0,1.0,779.4,5.0,1.0
1176,724.4,1.0,1.0,856.4,5.0,2.0
1182,664.3,1.0,2.0,795.2,5.0,1.0
1187,666.8,1.0,2.0,758.1,2.0,2.0
1190,667.0,3.0,3.0,755.4,5.0,2.0
1192,668.9,1.0,2.0,791.8,5.0,1.0
1198,684.2,5.0,1.0,686.9,5.0,1.0
1225,725.8,1.0,3.0,733.1,1.0,3.0
1232,743.5,2.0,1.0,880.5,5.0,1.0
1237,691.8,3.0,2.0,770.2,5.0,1.0
1262,702.2,1.0,2.0,798.5,3.0,1.0
1265,705.5,5.0,2.0,707.6,5.0,2.0
1269,707.4,5.0,2.0,709.0,5.0,2.0
1271,708.1,4.0,1.0,759.1,5.0,2.0
