time,type,intersection,direction,turning_left,vehicle
137.07,CheckWait,null,null,null,null
137.07,Exit,3,E,null,117
137.33,Enter,3,E,null,248
137.33,Resume,3,E,null,248
137.33,WaitUntil,3,E,false,248
137.37,Resume,3,S,null,118
137.37,WaitUntil,3,S,false,118
137.37,Resume,null,null,null,118
137.37,CheckWait,null,null,null,null
137.67,Resume,3,S,null,119
137.67,WaitUntil,3,S,false,119
137.67,Resume,null,null,null,119
137.67,CheckWait,null,null,null,null
137.97,Resume,3,S,null,120
137.97,WaitUntil,3,S,false,120
137.97,Resume,null,null,null,120
137.97,CheckWait,null,null,null,null
138.27,Resume,3,S,null,171
138.27,WaitUntil,3,S,false,171
138.27,Resume,null,null,null,171
138.27,CheckWait,null,null,null,null
138.27,Exit,3,E,null,171
138.57,Resume,3,S,null,172
138.57,WaitUntil,3,S,false,172
138.57,Resume,null,null,null,172
138.57,CheckWait,null,null,null,null
138.61,Enter,1,S,null,9
138.87,Resume,3,S,null,173
138.87,WaitUntil,3,S,false,173
138.87,Resume,null,null,null,173
138.87,CheckWait,null,null,null,null
138.91,Enter,1,S,null,10
139.17,Resume,3,S,null,174
139.17,WaitUntil,3,S,false,174
139.17,Resume,null,null,null,174
139.17,CheckWait,null,null,null,null
139.62,Resume,2,S,null,5
139.62,WaitUntil,2,S,false,5
139.62,Resume,null,null,null,5
139.62,CheckWait,null,null,null,null
139.84,Enter,1,S,null,11
141.55,Resume,3,S,null,175
141.55,WaitUntil,3,S,false,175
141.55,Resume,null,null,null,175
141.55,CheckWait,null,null,null,null
142.26,Enter,1,S,null,12
144.33,Enter,1,S,null,13
144.33,Enter,1,W,null,128
144.33,Resume,1,W,null,128
144.33,WaitUntil,1,W,true,128
144.80,TurnRedThrough,2,N,null,null
146.02,Resume,1,S,null,6
146.02,WaitUntil,1,S,false,6
146.02,Resume,null,null,null,6
146.02,CheckWait,null,null,null,null
146.03,Enter,5,E,null,338
146.03,Resume,5,E,null,338
146.03,WaitUntil,5,E,false,338
146.20,Resume,1,S,null,7
146.20,WaitUntil,1,S,false,7
146.20,Resume,null,null,null,7
146.20,CheckWait,null,null,null,null
146.92,Enter,2,E,null,222
146.92,Resume,2,E,null,222
146.92,WaitUntil,2,E,false,222
147.39,Enter,1,W,null,129
147.39,Resume,1,W,null,129
147.39,WaitUntil,1,W,true,129
147.70,Enter,1,S,null,14
149.59,Enter,1,S,null,15
149.95,Resume,1,S,null,8
149.95,WaitUntil,1,S,true,8
151.50,TurnRedThrough,1,N,null,null
152.75,Resume,1,S,null,9
152.75,WaitUntil,1,S,true,9
152.98,Enter,1,S,null,16
153.05,Resume,1,S,null,10
153.05,WaitUntil,1,S,false,10
153.70,TurnRedThrough,5,N,null,null
153.97,Resume,1,S,null,11
153.97,WaitUntil,1,S,false,11
155.40,TurnGreenLeft,1,E,null,null
155.70,Resume,null,null,null,121
155.70,CheckWait,null,null,null,null
156.00,Resume,null,null,null,122
156.00,CheckWait,null,null,null,null
156.23,Enter,1,S,null,17
156.30,Resume,null,null,null,123
156.30,CheckWait,null,null,null,null
156.40,Resume,1,S,null,12
156.40,WaitUntil,1,S,false,12
156.60,Resume,null,null,null,124
156.60,CheckWait,null,null,null,null
156.90,Resume,null,null,null,125
156.90,CheckWait,null,null,null,null
157.20,Resume,null,null,null,126
157.20,CheckWait,null,null,null,null
157.50,Resume,null,null,null,127
157.50,CheckWait,null,null,null,null
157.80,Resume,null,null,null,128
157.80,CheckWait,null,null,null,null
158.10,Resume,null,null,null,129
