time,type,intersection,direction,vehicle
139.96,Exit,1,E,38
140.22,Arrival,2,S,13
140.22,Departure,2,S,13
140.49,Arrival,2,W,435
140.52,Arrival,2,S,14
140.52,Departure,2,S,14
140.67,Arrival,3,E,530
140.82,Arrival,2,S,15
140.82,Departure,2,S,15
141.12,Arrival,2,S,16
141.12,Departure,2,S,16
141.38,Arrival,3,E,531
141.42,Arrival,2,S,17
141.42,Departure,2,S,17
141.72,Arrival,2,S,18
141.72,Departure,2,S,18
142.02,Arrival,2,S,19
142.02,Departure,2,S,19
142.32,Arrival,2,S,22
142.32,Departure,2,S,22
142.40,Arrival,1,S,39
142.40,Departure,1,S,39
142.62,Arrival,2,S,23
142.62,Departure,2,S,23
142.92,Arrival,2,S,24
142.92,Departure,2,S,24
143.22,Arrival,2,S,26
143.22,Departure,2,S,26
143.52,Arrival,2,S,27
143.52,Departure,2,S,27
143.82,Arrival,2,S,30
143.82,Departure,2,S,30
144.10,Arrival,1,E,382
144.12,Arrival,2,S,32
144.12,Exit,2,W,32
144.25,Arrival,3,W,478
144.42,Arrival,2,S,33
144.42,Departure,2,S,33
144.72,Arrival,2,S,34
144.72,Departure,2,S,34
144.80,RedSouth,2,N,null
144.80,RedSouth,2,W,null
145.56,Arrival,1,E,383
145.65,Arrival,3,E,532
146.91,Arrival,3,S,379
146.91,Departure,3,S,379
147.20,Arrival,1,S,40
147.20,Departure,1,S,40
147.91,Arrival,3,W,479
147.93,Arrival,5,S,526
150.78,Arrival,1,S,41
150.78,Departure,1,S,41
151.28,Arrival,5,E,691
151.50,RedSouth,1,N,null
152.63,Arrival,3,W,480
152.82,Arrival,5,S,527
152.82,Departure,5,S,527
153.15,Arrival,1,S,42
153.70,RedSouth,5,N,null
155.40,GreenWestTurnLeft,1,null,null
155.40,Departure,1,W,311
155.51,Arrival,5,E,692
155.70,Departure,1,W,312
155.96,Arrival,1,S,43
156.00,Departure,1,W,313
156.30,Departure,1,W,314
156.47,Arrival,1,S,44
156.60,Departure,1,W,315
156.90,Departure,1,W,316
157.20,Departure,1,W,317
157.39,Arrival,5,W,597
157.78,Arrival,5,W,598
158.95,Exit,5,N,527
159.90,GreenWestTurnLeft,5,null,null
159.90,Departure,5,W,592
160.10,Arrival,3,E,533
160.10,Arrival,5,W,599
160.20,Departure,5,W,593
160.50,Departure,5,W,594
160.80,Departure,5,W,595
160.96,Arrival,3,E,534
161.07,Arrival,1,S,45
161.10,Departure,5,W,596
161.36,Arrival,2,W,436
161.40,Departure,5,W,597
161.70,Departure,5,W,598
162.00,Departure,5,W,599
162.96,Arrival,5,W,600
162.96,Departure,5,W,600
163.43,Arrival,1,S,46
163.49,Arrival,3,E,535
163.90,RedSouth,3,W,null
163.90,RedSouth,3,N,null
164.34,Arrival,5,W,601
164.34,Departure,5,W,601
164.44,Arrival,1,E,384
165.20,RedWestTurnLeft,1,null,null
165.63,Arrival,1,W,318
165.68,Arrival,1,W,319
166.04,Exit,5,N,592
166.34,Exit,5,N,593
166.40,Arrival,5,W,602
166.40,Departure,5,W,602
166.64,Exit,5,N,594
166.77,Arrival,1,E,385
166.94,Exit,5,N,595
167.21,Arrival,3,E,536
167.24,Exit,5,N,596
167.54,Exit,5,N,597
167.75,Arrival,1,S,47
167.84,Exit,5,N,598
167.91,Arrival,5,S,429
168.14,Exit,5,N,599
168.20,GreenEastTurnRight,1,null,null
168.20,Departure,1,E,380
168.21,Arrival,5,S,430
168.50,Departure,1,E,381
168.51,Arrival,5,S,431
168.51,Arrival,2,S,39
168.80,Departure,1,E,382
169.00,GreenEastTurnRight,3,null,null
169.00,GreenWestTurnLeft,3,null,null
169.00,Departure,3,E,528
169.00,Departure,3,W,474
169.07,Arrival,1,W,320
169.10,Exit,5,N,600
169.10,Departure,1,E,383
169.30,Departure,3,E,529
169.30,Departure,3,W,475
169.40,Departure,1,E,384
169.60,Departure,3,E,530
169.60,Departure,3,W,476
169.70,Departure,1,E,385
169.90,Departure,3,E,531
169.90,Departure,3,W,477
170.20,Departure,3,E,532
170.20,Departure,3,W,478
170.48,Exit,5,N,601
170.50,Departure,3,E,533
170.50,Departure,3,W,479
170.80,Departure,3,E,534
170.80,Departure,3,W,480
171.10,Departure,3,E,535
171.40,Departure,3,E,536
