id,enter_time,exit_time,entrance_intersection,entrance_direction,exit_intersection,exit_direction
115,876.51,905.10,1,S,1,W
116,879.38,905.40,1,S,1,W
232,828.18,913.07,2,E,3,W
203,724.80,915.10,1,E,5,E
106,851.83,916.40,1,S,1,E
111,864.04,916.70,1,S,1,E
91,656.56,921.24,1,S,5,N
93,658.95,921.54,1,S,5,N
218,733.93,921.84,2,W,5,N
231,758.53,922.14,2,E,5,N
162,690.33,922.44,1,W,5,N
163,708.67,922.74,1,W,5,N
164,740.07,923.04,1,W,5,N
165,742.55,923.34,1,W,5,N
166,749.07,923.64,1,W,5,N
202,724.18,923.94,1,E,5,N
204,756.70,924.24,1,E,5,N
205,759.69,924.54,1,E,5,N
262,833.55,929.67,3,E,5,N
263,850.15,929.97,3,E,5,N
107,855.61,942.82,1,S,2,W
112,866.70,943.42,1,S,2,W
245,890.80,952.57,3,W,5,N
334,872.86,965.24,5,W,5,N
335,894.26,965.54,5,W,5,N
336,898.29,965.84,5,W,5,N
261,831.31,999.00,3,E,5,W
101,835.74,999.30,1,S,5,W
103,839.16,999.60,1,S,5,W
169,848.78,999.90,1,W,5,W
94,757.21,1015.00,1,S,5,E
206,839.43,1015.30,1,E,5,E
220,825.27,1021.14,2,W,5,N
96,823.47,1021.44,1,S,5,N
97,824.57,1021.74,1,S,5,N
99,833.15,1022.04,1,S,5,N
102,838.08,1022.34,1,S,5,N
167,788.15,1022.64,1,W,5,N
168,820.76,1022.94,1,W,5,N
114,871.14,1098.90,1,S,5,W
105,849.90,1121.04,1,S,5,N
110,863.21,1121.34,1,S,5,N
170,899.01,1121.64,1,W,5,N
